from,to,year,type,pps
RPr,FCN,2014,2,0
RPr,FCN,2013,2,"0,25"
F95,FF,2020,1,"0,6"
FCK,FF,2021,1,2
VfLW,FKo,2022,1,"1,6"
DSC,FKr,2022,1,"0,2"
S04,FKr,2022,1,0
TSGH,FKr,2012,1,0
BSC,FMa,2022,1,"1,4"
VfLW,FMa,2012,1,"0,2"
ABe,FSVM,2019,2,"1,8"
BS,FSVM,2021,2,"0,8"
JML,FSVM,2020,2,"0,2"
JML,FSVM,2019,2,0
KH,FSVM,2014,2,"1,8"
MSc,FSVM,2015,2,"1,6"
SS,FSVM,2017,2,"0,6"
B04,GS,2022,1,1
FCN,GV,2014,1,"0,6"
DaSt,H96,2016,2,"1,6"
MF,H96,2015,2,"1,6"
TD,H96,2018,2,"0,6"
TK,H96,2013,2,"1,2"
TS,H96,2015,2,0
FCB,HF,2021,1,2
B04,HH,2018,1,2
FCA,HH,2021,1,"0,8"
S04,HS,2019,1,"1,2"
S04,HS,2012,1,"0,4"
TSGH,HS,2016,1,"0,8"
VfB,HS,2015,1,"1,4"
VfB,HS,2014,1,"1,4"
TSGH,HSt,2012,1,"1,2"
BHo,HSV,2018,2,"0,4"
BLab,HSV,2015,2,"1,4"
BVM,HSV,2013,2,"1,6"
CT,HSV,2018,2,"1,4"
JZ,HSV,2014,2,1
MG,HSV,2016,2,"0,2"
MSl,HSV,2014,2,"1,4"
PKn,HSV,2015,2,0
RC,HSV,2011,2,1
TF,HSV,2011,2,"1,4"
B04,HW,2021,1,1
VfB,HW,2018,1,"0,6"
FCB,JH,2018,1,"2,4"
FCB,JH,2013,1,"2,6"
S04,JK,2014,1,"1,4"
BSC,JKl,2020,1,1
BVB,JKlo,2015,1,"1,2"
VfB,JKr,2016,1,"1,6"
BSC,JLu,2015,1,"0,8"
FCA,JLu,2012,1,"1,6"
RBL,JMa,2021,1,"1,29"
FSVM,JML,2019,1,"1,2"
FCB,JN,2023,1,"1,8"
RBL,JN,2021,1,"0,8"
TSGH,JN,2019,1,"0,8"
HSV,JZ,2015,1,"0,4"
FSVM,KH,2015,1,"0,8"
BMG,LFa,2015,1,0
BVB,LFa,2020,1,"0,8"
VfLW,LGK,2012,1,1
SGF,LPr,2013,1,"0,67"
FCA,MBa,2019,1,"1,4"
S04,MBa,2020,1,"0,4"
TSGH,MBab,2012,1,"0,2"
SGF,MBü,2013,1,"0,6"
H96,MF,2015,1,"0,6"
VfLW,MF,2021,1,"0,2"
FCK,MG,2021,1,"0,4"
HSV,MG,2018,1,"0,2"
TSGH,MG,2015,1,1
FCI,MHe,2016,1,"0,2"
FCN,MK,2019,1,"0,2"
FCKa,MKu,2012,1,"0,4"
TSGH,MKu,2013,1,"0,8"
HSV,MOe,2011,1,"0,2"
BMG,MR,2021,1,"1,2"
BVB,MR,2022,1,"1,8"
FCA,MSc,2020,1,"0,2"
FSVM,MSc,2017,1,1
VfLW,MSc,2018,1,"0,8"
H96,MSl,2013,1,"0,8"
HSV,MSl,2014,1,"0,2"
SCF,MSo,2012,1,"0,6"
VfLW,MvB,2021,1,0
FCA,MW,2022,1,"1,2"
FCA,MW,2016,1,"1,6"
S04,MW,2017,1,"1,2"
VfB,MW,2019,1,"0,4"
VfB,MWi,2022,1,"1,2"
FCB,NK,2019,1,"1,4"
SGE,NK,2018,1,"0,6"
SVD,NM,2016,1,0
SGE,OG,2023,1,"1,6"
VfLW,OG,2021,1,"1,4"
BSC,OR,2012,1,"0,8"
B04,PB,2021,1,"0,8"
BVB,PB,2017,1,"0,4"
BSC,PD,2021,1,1
BSC,PD,2019,1,"1,6"
FCB,PGu,2016,1,"2,6"
HSV,PKn,2015,1,0
VfB,PM,2022,1,"0,4"
BVB,PSt,2018,1,"0,8"
FCK,PSt,2017,1,"0,2"
SVD,RBer,2016,1,0
ABe,RBL,2021,2,"0,8"
DT,RBL,2021,2,2
JMa,RBL,2021,2,"0,8"
JN,RBL,2019,2,"2,6"
MR,RBL,2022,2,2
RR,RBL,2018,2,"1,6"
HSV,RC,2013,1,0
HSV,RC,2011,1,"1,2"
S04,RdM,2015,1,2
B04,RDu,2012,1,"0,6"
SVW,RDu,2014,1,"0,2"
FCI,RHa,2016,1,"0,2"
RBL,RHa,2018,1,"1,4"
B04,RoS,2017,1,"1,2"
FCN,RPr,2013,1,"0,25"
RBL,RR,2019,1,"1,6"
S04,RR,2011,1,"1,8"
BSC,RW,2012,1,"0,8"
ABr,S04,2015,2,3
CG,S04,2020,2,"0,6"
DGr,S04,2021,2,"0,8"
DT,S04,2017,2,"1,8"
DWa,S04,2019,2,2
HS,S04,2019,2,"0,8"
HS,S04,2011,2,2
JK,S04,2012,2,1
MBa,S04,2020,2,"0,6"
MW,S04,2016,2,0
RdM,S04,2014,2,"1,8"
TR,S04,2022,2,"0,6"
CSt,SCF,2012,2,1
AH,SGE,2018,2,"0,8"
AVe,SGE,2015,2,0
DTo,SGE,2023,2,"1,5"
NK,SGE,2016,2,"0,6"
OG,SGE,2021,2,"0,8"
TS,SGE,2014,2,"1,2"
FKr,SGF,2013,2,"0,8"
LPr,SGF,2013,2,"0,67"
TSGH,SH,2022,1,"0,4"
B04,SHy,2014,1,"0,8"
B04,SLe,2014,1,"2,6"
B04,SLe,2013,1,3
FCK,SOL,2012,1,"0,2"
BSC,SS,2023,1,"0,4"
FSVM,SS,2019,1,0
NM,SVD,2016,2,"0,8"
RBer,SVD,2016,2,0
TFr,SVD,2016,2,"0,8"
ANo,SVW,2016,2,"1,4"
FKo,SVW,2017,2,"1,8"
RDu,SVW,2013,2,0
VS,SVW,2014,2,"1,8"
B04,TK,2017,1,1
BSC,TK,2022,1,0
H96,TK,2015,1,"0,4"
VfLB,TR,2022,1,0
H96,TS,2016,1,0
SGE,TS,2015,1,2
SVW,TS,2013,1,"0,6"
VfB,TSch,2014,1,"0,2"
ABr,TSGH,2022,2,"1,8"
AS,TSGH,2019,2,1
FKr,TSGH,2012,2,0
HS,TSGH,2015,2,"0,8"
JN,TSGH,2016,2,"1,4"
MBab,TSGH,2012,2,"1,2"
MG,TSGH,2013,2,"1,6"
MKu,TSGH,2012,2,"0,8"
MRa,TSGH,2020,2,"2,25"
PM,TSGH,2023,2,0
BVB,TT,2017,1,"2,2"
FSVM,TT,2014,1,"1,8"
DSC,UN,2021,1,"0,2"
AVe,VfB,2014,2,"0,2"
AZo,VfB,2015,2,"1,6"
BLab,VfB,2022,2,"0,4"
HS,VfB,2014,2,"1,6"
HS ,VfB,2014,2,"1,4"
JKr,VfB,2015,2,"1,6"
JLu,VfB,2016,2,0
MW,VfB,2018,2,"0,6"
MWi,VfB,2022,2,"1,8"
NW,VfB,2019,2,"1,75"
SH,VfB,2023,2,"1,6"
TK,VfB,2018,2,"2,6"
TSch,VfB,2013,2,"2,2"
TL,VfLB,2022,2,"1,2"
AJo,VfLW,2017,2,"1,6"
BLab,VfLW,2018,2,"0,4"
DH,VfLW,2012,2,"1,4"
FKo,VfLW,2021,2,"1,4"
LGK,VfLW,2012,2,2
MF,VfLW,2021,2,"0,2"
MSc,VfLW,2017,2,1
MvB,VfLW,2021,2,"2,6"
NK,VfLW,2022,2,"0,4"
OG,VfLW,2019,2,"1,8"
VIs,VfLW,2016,2,"0,8"
VfLW,VIs,2017,1,"0,6"
SVW,VS,2016,1,"0,8"
