id,name,type,league
RDM,ROBERTO DI MATTEO,1,6
RDU,ROBIN DUTT,1,1
RHA,RALPH HASENHÜTTL,1,6
ROS,ROGER SCHMIDT,1,1
RPR,ROGER PRINZEN,1,1
RR,RALF RANGNICK,1,1
RW,RAINER WIDMAYER,1,1
S04,SCHALKE 04,2,1
SB,STEFFEN BAUMGART,1,1
SCF,SC FREIBURG,2,1
SGE,EINTRACHT FRANKFURT,2,1
SGF,SPVGG GREUTHER FÜRTH,2,1
SH,SEBASTIAN HOENESS,1,1
SHY,SAMI HYYPIÄ,1,1
SLE,SASCHA LEWANDOWSKI,1,1
SOL,STALE SOLBAKKEN,1,1
SR,STEFAN RUTHENBECK,1,1
SS,SANDRO SCHWARZ,1,1
SVD,SV DARMSTADT 98,2,1
SVW,SV WERDER BREMEN,2,1
TD,THOMAS DOLL,1,1
TF,THORSTEN FINK,1,1
TFR,TORSTEN FRINGS,1,1
TK,TAYFUN KORKUT,1,1
TL,THOMAS LETSCH,1,1
TR,THOMAS REIS,1,1
TS,THOMAS SCHAAF,1,1
TSCH,THOMAS SCHNEIDER,1,1
TSGH,TSG HOFFENHEIM,2,1
TT,THOMAS TUCHEL,1,6
UN,UWE NEUHAUS,1,1
UR,UWE RÖSSLER,1,1
VFB,VFB STUTTGART,2,1
VFLB,VFL BOCHUM,2,1
VFLW,VFL WOLFSBURG,2,1
VIS,VALERIEN ISMAEL,1,1
VS,VIKTOR SKRYPNYK,1,1
XA,XABI ALONSO,1,1
