id,name,type,league
JR,Juande Ramos,1,3
JRO,Jordi Roura,1,3
JRS,José Ramón Sandoval,1,3
LAL,Lucas Alcaraz,1,3
LBL,Luis Blanco,1,3
LC,Luis Cembranos,1,3
LF,Leo Franco,1,3
LG,Luis García,1,3
LZ,Luis Zubeldia,1,3
MALO,Miguel Angel Lotina,1,3
MAMA,Manolo Marquez,1,3
MBI,Marcelo Bielsa,1,3
MD,Miroslav Djukic,1,3
MI,Michel,1,3
MJI,Manolo Jimenez,1,3
MRO,Marcelo Romero,1,3
NE,Nico Estevez,1,3
PAF,Pablo Franco,1,3
PAY,Pako Ayestarán,1,3
PHE,Paco Herrera,1,3
PJ,Paco Jémez,1,3
PLO,Paco Lopez,1,3
PVA,Petar Vasiljevic,1,3
RBE,Real Betis Sevilla,2,3
RCC,Celta Vigo,2,3
RCD,Espanyol Barcelona,2,3
RCDM,RCD Mallorca,2,3
RK,Ronald Koeman,1,3
RM,Real Madrid,2,3
RSA,Racing Santander,2,3
RSO,Real Sociedad,2,3
RT,Ruben Torrecilla,1,3
RV,Rayo Vallecano,2,3
RVAD,Real Valladolid,2,3
SAR,Real Saragossa,2,3
SBA,Sergi Barjuan,1,3
SDEI,SD Eibar,2,3
SDH,SD Huesca,2,3
SE,Sergio,1,3
SEFC,Sevilla FC,2,3
SEMA,Sergio Mantecon,1,3
SG,Sporting Gijon,2,3
SSO,Santiago Solari,1,3
TAD,Tony Adams,1,3
TV,Tito Vilanova,1,3
UDA,UD Almería,2,3
UDLE,UD Levante,2,3
UDLP,UD Las Palmas,2,3
VCF,Valencia CF,2,3
VF,Víctor Fernández,1,3
VICF,Villarreal CF,2,3
VO,Voro,1,3
VSA,Víctor Sánchez,1,3
ZIZI,Zinedine Zidane,1,3
AI,Andoni Iraola,1,6
AKA,Aitor Karanka,1,6
CA,Carlo Ancelotti,1,6
CC,Carlos Carvalhal,1,6
CPR,Cesare Pradelli,1,6
DM,David Moyes,1,6
DMA,Diego Martínez,1,6
EC,Eduardo Coudet,1,6
FR,Francisco Rodríguez,1,6
GPO,Gustavo Poyet,1,6
JA,Jorge Almiron,1,6
JG,Javi Gracia,1,6
JL,Julen Lopetegui,1,6
JLM,José Luis Mendilibar,1,6
JS,Jorge Sampaoli,1,6
JV,Julio Velázquez,1,6
LEN,Luis Enrique,1,6
MAP,Mauricio Pellegrino,1,6
MAR,Marcelino,1,6
MP,Mauricio Pochettino,1,6
MPE,Manuel Pellegrini,1,6
OGA,Oscar Garcia,1,6
PA,Pacheta,1,6
PBO,Pepe Bordalás,1,6
PMA,Pablo Machin,1,6
PME,Pepe Mel,1,6
PP,Paulo Pezzolano,1,6
QS,Quique Setién,1,6
QSF,Quique Sánchez Flores,1,6
RB,Rafael Benítez,1,6
RBA,Rubén Baraja,1,6
RU,Rubi,1,6
SBE,Sebastián Beccacece,1,6
UM,Unai Emery,1,6
VM,Vicente Moreno,1,6
CS,Clarence Seedorf,1,6
NES,Nuno Espirito Santo,1,6
PMO,Philippe Montanier,1,6
PGU,Pep Guardiola,1,6
JM,Jose Mourinho,1,6
ML,Michael Laudrup,1,6
RMO,Robert Moreno,1,6
MCAR,Miguel Cardoso,1,6
VMO,Vincenzo Montella,1,6
id,name,type,league
ABE,ACHIM BEIERLORZER,1,1
ABR,ANDRÉ BREITENREITER,1,1
ACO,ANTE COVIC,1,1
AH,ADI HÜTTER,1,6
AHI,ANDREAS HINKEL,1,1
AJO,ANDRIES JONKER,1,1
ANO,ALEXANDER NOURI,1,1
APA,ANDRÉ PAWLAK,1,1
AR,ARMIN REUTERSHAHN,1,1
AS,ALFRED SCHREUDER,1,1
ASC,ANDRE SCHUBERT,1,1
AVE,ARMIN VEH,1,1
AZO,ALEXANDER ZORNIGER,1,1
B04,BAYER 04 LEVERKUSEN,2,1
BHO,BERND HOLLERBACH,1,1
BLAB,BRUNO LABBADIA,1,1
BMG,BORUSSIA MÖNCHENGLADBACH,2,1
BS,BO SVENNSON,1,1
BSC,HERTHA BSC,2,1
BSCH,BORIS SCHOMMERS,1,1
BVB,BORUSSIA DORTMUND,2,1
BVM,BERT VAN MARWIJK,1,1
CG,CHRISTIAN GROSS,1,1
CST,CHRISTIAN STREICH,1,1
CT,CHRISTIAN TITZ,1,1
DAST,DANIEL STENDEL,1,1
DFA,DANIEL FARKE,1,6
DGR,DIMITRIOS GRAMMOZIS,1,1
DH,DIETER HECKING,1,1
DSC,ARMINIA BIELEFELD,2,1
DSCH,DIRK SCHUSTER,1,1
DT,DOMENICO TEDESCO,1,1
DTO,DINO TOPPMÖLLER,1,1
DWA,DAVID WAGNER,1,1
ENMA,ENRICO MAASSEN,1,1
ETE,EDIN TERZIC,1,1
F95,FORTUNA DÜSSELDORF,2,1
FCA,FC AUGSBURG,2,1
FCB,FC BAYERN MÜNCHEN,2,1
FCI,FC INGOLSTADT 04,2,1
FCK,1. FC KÖLN,2,1
FCKA,1. FC KAISERSLAUTERN,2,1
FCN,1. FC NÜRNBERG,2,1
FF,FRIEDHELM FUNKEL,1,1
FKO,FLORIAN KOHFELDT,1,1
FKR,FRANK KRAMER,1,1
FMA,FELIX MAGATH,1,6
FS,FRANK SCHAEFER,1,1
FSVM,1. FSV MAINZ 05,2,1
GS,GERARDO SEOANE,1,1
GV,GERTJAN VERBEEK,1,1
H96,HANNOVER 96,2,1
HF,HANSI FLICK,1,1
HH,HEIKO HERRLICH,1,1
HS,HUUB STEVENS,1,1
HST,HOLGER STANISLAWSKI,1,1
HSV,HAMBURGER SV,2,1
HW,HANNES WOLF,1,1
JH,JUPP HEYNCKES,1,1
JK,JENS KELLER,1,1
JKL,JÜRGEN KLINSMANN,1,1
JKLO,JÜRGEN KLOPP,1,6
JKR,JÜRGEN KRAMNY,1,1
JLU,JOS LUHUKAY,1,1
JMA,JESSE MARSCH,1,6
JML,JAN MORITZ LICHTE,1,1
JN,JULIAN NAGELSMANN,1,1
JZ,JOSEF ZINNBAUER,1,1
KBA,KRASIMIR BALAKOV,1,1
KH,KASPER HJULMAND,1,1
LFA,LUCIEN FAVRE,1,6
LGK,LORENZ-GÜNTHER KÖSTNER,1,1
LPR,LUDWIG PREIS,1,1
MBA,MANUEL BAUM,1,1
MBAB,MARKUS BABBEL,1,1
MBÜ,MIKE BÜSKENS,1,1
MF,MICHAEL FRONTZECK,1,1
MG,MARKUS GISDOL,1,1
MHE,MICHAEL HENKE,1,1
MK,MICHAEL KÖLLNER,1,1
MKAU,MARKUS KAUCZINSKI,1,1
MKO,MARCO KOSTMANN,1,1
MKU,MARCO KURZ,1,1
MOE,MICHAEL OENNING,1,1
MR,MARCO ROSE,1,1
MRA,MARCEL RAPP,1,1
MSC,MARTIN SCHMIDT,1,1
MSCH,MANFRED SCHMID,1,1
MSK,MICHAEL SKIBBE,1,1
MSL,MIRKO SLOMKA,1,1
MSO,MARCUS SORG,1,1
MVB,MARK VAN BOMMEL,1,1
MW,MARKUS WEINZIERL,1,1
MWA,MAIK WALPURGIS,1,1
MWI,MICHAEL WIMMER,1,1
MWIE,MICHAEL WIESINGER,1,1
NK,NIKO KOVAC,1,6
NM,NORBERT MEIER,1,1
NW,NICO WILLIG,1,1
OG,OLIVER GLASNER,1,1
OR,OTTO REHHAGEL,1,1
PB,PETER BOSZ,1,6
PD,PAL DARDAI,1,1
PKN,PETER KNÄBEL,1,1
PM,PELLEGRINO MATARAZZO,1,1
PST,PETER STÖGER,1,1
RBER,RAMON BERNDROTH,1,1
RBL,RB LEIPZIG,2,1
RC,RODOLFO CARDOSO,1,1
RDM,ROBERTO DI MATTEO,1,6
RDU,ROBIN DUTT,1,1
RHA,RALPH HASENHÜTTL,1,6
ROS,ROGER SCHMIDT,1,1
RPR,ROGER PRINZEN,1,1
RR,RALF RANGNICK,1,1
RW,RAINER WIDMAYER,1,1
S04,SCHALKE 04,2,1
SB,STEFFEN BAUMGART,1,1
SCF,SC FREIBURG,2,1
SGE,EINTRACHT FRANKFURT,2,1
SGF,SPVGG GREUTHER FÜRTH,2,1
SH,SEBASTIAN HOENESS,1,1
SHY,SAMI HYYPIÄ,1,1
SLE,SASCHA LEWANDOWSKI,1,1
SOL,STALE SOLBAKKEN,1,1
SR,STEFAN RUTHENBECK,1,1
SS,SANDRO SCHWARZ,1,1
SVD,SV DARMSTADT 98,2,1
SVW,SV WERDER BREMEN,2,1
TD,THOMAS DOLL,1,1
TF,THORSTEN FINK,1,1
TFR,TORSTEN FRINGS,1,1
TK,TAYFUN KORKUT,1,1
TL,THOMAS LETSCH,1,1
TR,THOMAS REIS,1,1
TS,THOMAS SCHAAF,1,1
TSCH,THOMAS SCHNEIDER,1,1
TSGH,TSG HOFFENHEIM,2,1
TT,THOMAS TUCHEL,1,6
UN,UWE NEUHAUS,1,1
UR,UWE RÖSSLER,1,1
VFB,VFB STUTTGART,2,1
VFLB,VFL BOCHUM,2,1
VFLW,VFL WOLFSBURG,2,1
VIS,VALERIEN ISMAEL,1,1
VS,VIKTOR SKRYPNYK,1,1
XA,XABI ALONSO,1,1
