from,to,year,type,pps
FSVM,JML,2019,1,"1,2"
MG,FCK,2019,2,"1,4"
FCK,APa,2019,1,"0,8"
JKl,BSC,2019,2,"1,6"
BSC,ACo,2019,1,"0,2"
UR,F95,2020,2,"1,2"
F95,FF,2020,1,"0,6"
ANo,BSC,2020,2,"1,25"
BSC,JKl,2020,1,1
HH,FCA,2020,2,1
FCA,MSc,2020,1,"0,2"
BLab,BSC,2020,2,2
BSC,ANo,2020,1,1
MRa,TSGH,2020,2,"2,25"
TSGH,AS,2020,1,"1,6"
S04,HS,2019,1,"1,2"
DWa,S04,2019,2,2
VfLW,BLab,2019,1,2
OG,VfLW,2019,2,"1,8"
BSC,PD,2019,1,"1,6"
ACo,BSC,2019,2,"0,8"
BMG,DH,2019,1,"0,8"
MR,BMG,2019,2,2
TSGH,JN,2019,1,"0,8"
AS,TSGH,2019,2,1
RBL,RR,2019,1,"1,6"
JN,RBL,2019,2,"2,6"
VfB,MW,2019,1,"0,4"
NW,VfB,2019,2,"1,75"
FCA,MBa,2019,1,"1,4"
MSc,FCA,2019,2,"1,4"
S04,DT,2019,1,"0,2"
HS,S04,2019,2,"0,8"
FCN,MK,2019,1,"0,2"
BSch,FCN,2019,2,"0,2"
H96,ABr,2018,1,"0,2"
TD,H96,2018,2,"0,6"
B04,HH,2018,1,2
TD,B04,2018,2,"2,4"
VfB,AHi,2018,1,1
MW,VfB,2018,2,"0,6"
RBL,RHa,2018,1,"1,4"
RR,RBL,2018,2,"1,6"
FCB,JH,2018,1,"2,4"
NK,FCB,2018,2,"2,6"
BVB,PSt,2018,1,"0,8"
LF,BVB,2018,2,"2,2"
SGE,NK,2018,1,"0,6"
AH,SGE,2018,2,"0,8"
HSV,BHo,2018,1,"0,2"
CT,HSV,2018,2,"1,4"
VfLW,MSc,2018,1,"0,8"
BLab,VfLW,2018,2,"0,4"
VfB,HW,2018,1,"0,6"
TK,VfB,2018,2,"2,6"
HSV,MG,2018,1,"0,2"
BHo,HSV,2018,2,"0,4"
BVB,PB,2017,1,"0,4"
PSt,BVB,2017,2,"1,8"
FCK,PSt,2017,1,"0,2"
SR,FCK,2017,2,"1,8"
SVW,ANo,2017,1,"0,6"
FK,SVW,2017,2,"1,8"
FCB,CA,2017,1,"1,6"
JH,FCB,2017,2,3
VfLW,AJo,2017,1,"0,8"
MSc,VfLW,2017,2,1
SVW,VS,2016,1,"0,8"
ANo,SVW,2016,2,"1,4"
HSV,BLab,2016,1,"0,2"
MG,HSV,2016,2,"0,2"
VfLW,DH,2016,1,"0,4"
VIs,VfLW,2016,2,"0,8"
FCI,MHe,2016,1,"0,2"
MWa,FCI,2016,2,2
SVD,NM,2016,1,0
RBe,SVD,2016,2,0
FCA,DSch,2016,1,"1,2"
MBa,FCA,2016,2,2
BMG,ASc,2016,1,"0,8"
DH,BMG,2016,2,"1,6"
SVD,RBe,2016,1,0
TFr,SVD,2016,2,"0,8"
VfLW,VIs,2017,1,"0,6"
AJo,VfLW,2017,2,"1,6"
B04,RoS,2017,1,"1,2"
TK,B04,2017,2,1
FSVM,MSc,2017,1,1
SS,FSVM,2017,2,"0,6"
S04,MW,2017,1,"1,2"
DT,S04,2017,2,"1,8"
B04,TK,2017,1,1
HH,B04,2017,2,"0,8"
BVB,TT,2017,1,"2,2"
PB,BVB,2017,2,"2,6"
BMG,LFa,2015,1,0
ASc,BMG,2015,2,3
TSGH,MG,2015,1,1
HS,TSGH,2015,2,"0,8"
VfB,AZo,2015,1,"1,2"
JKr,VfB,2015,2,"1,6"
H96,MF,2015,1,"0,6"
TS,H96,2015,2,0
TSGH,HS,2016,1,"0,8"
JN,TSGH,2016,2,"1,4"
SGE,AVe,2016,1,"0,6"
NK,SGE,2016,2,"0,6"
H96,TS,2016,1,0
DaSt,H96,2016,2,"1,6"
S04,ABr,2016,1,"1,4"
MW,S04,2016,2,0
FCA,MW,2016,1,"1,6"
DSch,FCA,2016,2,"1,4"
SVD,DSch,2016,1,"1,2"
NM,SVD,2016,2,"0,8"
FCI,RHa,2016,1,"0,2"
MKau,FCI,2016,2,"0,2"
VfB,JKr,2016,1,"1,6"
JLu,VfB,2016,2,0
FCB,PGu,2016,1,"2,6"
CA,FCB,2016,2,3
HSV,MSl,2014,1,"0,2"
JZ,HSV,2014,2,1
S04,JK,2014,1,"1,4"
RdM,S04,2014,2,"1,8"
SVW,RDu,2014,1,"0,2"
VS,SVW,2014,2,"1,8"
VfB,AVe,2014,1,"0,8"
HS,VfB,2014,2,"1,6"
BSC,JLu,2015,1,"0,8"
PD,BSC,2015,2,"1,4"
FSVM,KH,2015,1,"0,8"
MSc,FSVM,2015,2,"1,6"
HSV,JZ,2015,1,"0,4"
PKn,HSV,2015,2,0
HSV,PKn,2015,1,0
BLab,HSV,2015,2,"1,4"
H96,TK,2015,1,"0,4"
MF,H96,2015,2,"1,6"
VfB,HS,2015,1,"1,4"
AZo,VfB,2015,2,"1,6"
BVB,JKlo,2015,1,"1,2"
TT,BVB,2015,2,2
S04,RdM,2015,1,2
ABr,S04,2015,2,3
SGE,TS,2015,1,2
AVe,SGE,2015,2,0
B04,SLe,2014,1,"2,6"
RoS,B04,2014,2,2
SGE,AVe,2014,1,"0,2"
TS,SGE,2014,2,"1,2"
FSVM,TT,2014,1,"1,8"
KH,FSVM,2014,2,"1,8"
VFB,HS,2014,1,"1,4"
AVe,VFB,2014,2,"0,2"
RPr,FCN,2014,2,0
FCN,GV,2014,1,"0,6"
SLe,B04,2014,2,"2,6"
B04,SHy,2014,1,"0,8"
HS ,VfB,2014,2,"1,4"
VfB,TSch,2014,1,"0,2"
MSl,HSV,2014,2,"1,4"
HSV,BVM,2014,1,0
TK,H96,2013,2,"1,2"
H96,MSl,2013,1,"0,8"
RPr,FCN,2013,2,"0,25"
FCN,AR,2013,1,"0,6"
GV,FCN,2013,2,"0,4"
FCN,RPr,2013,1,"0,25"
BVM,HSV,2013,2,"1,6"
HSV,RC,2013,1,0
TSch,VfB,2013,2,"2,2"
VfB,BLab,2013,1,"0,8"
VfLW,FMa,2012,1,"0,2"
LGK,VfLW,2012,2,2
TSGH,MBab,2012,1,"0,2"
FKr,TSGH,2012,2,0
VfLW,LGK,2012,1,1
DH,VfLW,2012,2,"1,4"
FCN,DH,2012,1,"1,6"
MWi,FCN,2012,2,"1,2"
TSGH,FKr,2012,1,0
MKu,TSGH,2012,2,"0,8"
S04,HS,2012,1,"0,4"
JK,S04,2012,2,1
SGF,MBü,2013,1,"0,6"
LP,SGF,2013,2,"0,67"
SGF,LP ,2013,1,"0,67"
FKr,SGF,2013,2,"0,8"
TSGH,MKu,2013,1,"0,8"
MG,TSGH,2013,2,"1,6"
SVW,TS,2013,1,"0,6"
RDu,SVW,2013,2,0
FCB,JH,2013,1,"2,6"
PGu,FCB,2013,2,"2,6"
B04,SLe,2013,1,3
SHy,B04,2013,2,"2,4"
BSC,OR,2012,1,"0,8"
JLu,BSC,2012,2,"1,4"
FCA,JLu,2012,1,"1,6"
MW,FCA,2012,2,"0,2"
FCK,SOL,2012,1,"0,2"
FS,FCK,2012,2,"0,25"
B04,RDu,2012,1,"0,6"
SLe,B04,2012,2,"2,2"
FCKa,MKu,2012,1,"0,4"
KBa,FCK,2012,2,0
BSC,ACo,2012,1,"0,2"
OR,BSC,2012,2,"1,2"
TSGH,HSt,2012,1,"1,2"
MBab,TSGH,2012,2,"1,2"
BSC,RW,2012,1,"0,8"
MSk,BSC,2012,2,0
SCF,MSo,2012,1,"0,6"
CS,SCF,2012,2,1
HSV,RC,2011,1,"1,2"
TF,HSV,2011,2,"1,4"
S04,RR,2011,1,"1,8"
HS,S04,2011,2,2
HSV,MOe,2011,1,"0,2"
RC,HSV,2011,2,1
